Average Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: Degrees Fahrenheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Period: 2000-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State_Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,63.6,28.4,61.7,60.9,58.8,47,48.5,54.7,70.6,63.3,43.9,52.2,51.6,48.6,55.5,55.7,67.2,40.9,54.1,47.5,45,41.8,64.2,55.1,42.4,49.9,51.5,43,52.2,55.2,44.9,58.4,41.1,50.8,60.3,47.5,48.5,49.5,62.2,46,58,66.5,50.2,41.8,54.9,46.2,51.8,43.9,42.5
2001,63,27.3,61.2,61.2,59.1,46.8,50.2,56.1,70.9,63.9,44.2,53.4,53.2,49.1,55.9,56.6,66.7,42.7,55.3,49.1,46.8,43,63.7,55.8,43.6,50.3,51.6,44.6,53.6,54.6,46.9,59.4,42.2,52.4,60.8,47.8,49.9,51.1,63.3,46.5,58.2,65.7,50,43.8,55.8,46.9,52.7,45.3,43.2
2002,63.6,30.1,61.2,60.6,58.8,46.1,50.5,57.2,71.3,64.4,43,53.2,53.1,49.2,55.2,56.8,66.6,41.7,56.3,49.3,45.7,42,64,55.3,41.4,50,50.8,44.5,54.3,54.4,46.8,60,41,52.5,59.4,47.7,50.3,51.2,63.7,46.2,58.7,65,48.8,43.6,56.6,46.9,53.2,44.6,41.4
2003,62.7,29.1,61.9,60.3,59.4,47,48.2,54.6,70.9,63.3,45.4,51.7,51.1,47.9,55,55.2,66.4,40.4,53.9,47.1,44,41.5,63.3,54.5,43.3,49.8,52.2,42.5,51.8,55.5,44.5,58.7,40.8,50.2,59.9,49,48,49,62.4,46.1,57.5,65.5,50.6,41.5,55,48.2,51.6,43.2,43
2004,63.3,29.3,60.4,61,58.9,45.8,48.8,55.8,70.8,64,44.2,52.6,52.2,48.5,55.1,56.4,67.1,40.4,55.2,47.6,44.6,41.3,64,55,42.8,49.8,50.8,43,53,53.5,45.2,59.3,40.5,51.3,60.1,48.4,49.1,49.3,63.2,46.3,58.5,65.2,48.7,41.8,55.9,48.4,52.7,43.5,42.4
2005,63.4,29.2,61.1,62,58.6,46.8,49.5,55.7,70.8,63.8,43.6,53.7,52.8,49.6,55.9,56.8,67.5,41.8,55.2,48.4,46,43.1,64.3,56.2,43.1,50.7,50.7,44,53.4,54.7,46.2,59.4,42.4,51.8,60.8,47.7,49.5,50.1,63.1,47.3,58.8,66,49.3,43.4,55.9,47.3,52.8,45.1,42.8
2006,64.2,26.4,61.1,62,58.6,46.5,51.1,57.3,71.4,64.5,44.2,54,53.4,50.4,56.9,56.8,67.8,44,56.5,50.1,47,44.4,64.8,56.8,44.4,51.1,50.8,45.8,55,54.7,47.6,59.8,43.8,52.7,62.2,48,50.8,51.8,63.6,48.1,58.9,67.1,49.2,45.1,56.6,47.5,53,46,43.2
2007,64.4,28.1,61.6,61.8,58.9,46.2,49.5,56.3,71.8,64.8,44.8,53.7,53.3,48.9,55.1,57.7,67.4,40.7,55.7,48.3,46.1,42.4,65,56.2,44,50,51.5,43.1,53.6,54.2,45.7,60.5,41.8,52.3,60,47.8,49.5,50.3,64.3,46.8,59.9,64.8,49.9,42.2,56.8,46.8,53.3,44.7,43.3
2008,62.9,25.1,60.6,59.9,58.9,44.9,49.7,56.3,70.8,63.5,42.5,50.9,51,45.9,53.6,55.4,66.6,41.6,55.3,48.6,44,39.4,63.3,53.4,41.4,47.7,50.4,43.8,53.6,53.6,45.8,59.3,39.3,50.6,59.6,46.8,48.8,50.8,62.9,43.8,57.6,65.5,48.1,43,55.7,45.8,51.8,41.8,40.7
2009,62.9,26.8,61.1,59.9,58.8,45.2,48.8,55.4,71.2,63.4,42.8,51.4,51.3,46.7,53.6,55.4,66.8,40.9,54.6,47.7,43.8,40.1,63.6,54,41.1,47.6,50.4,43,52.7,54.3,45,58.9,38.5,50.5,59.4,47.3,48.4,49.8,62.7,43.6,57.6,65.8,48.4,42.3,55.2,46.4,51.7,42.4,40.9
2010,62.7,27.4,60.4,61.2,57.7,46.2,51.4,56.7,69.2,63,43.3,52.9,52.6,48.2,55.3,56,66.5,44.6,55.8,50.4,47.1,42.8,63.5,55.2,41.6,49.3,50,46,54.7,54.2,47.2,59,40.9,51.7,60.3,47.1,50.1,52,62.6,45.1,57.9,65.1,48.3,44.9,55.9,47.1,52,45.5,42
2011,63.8,27,60.3,61.8,57.4,45.4,50.9,57.4,71.7,64.6,42.4,53.1,53.1,48.4,55.2,56.9,67.7,42.8,56.5,49.7,45.6,42,64.4,55.6,41.6,48.8,49.6,44.9,54.9,54.6,47.1,60.4,40.7,52.3,61.6,46.3,50.4,51.6,64.1,44.8,58.9,67.3,47.6,44.3,57,45.5,53.5,44.1,41.1
2012,64.9,24.3,62.1,63.6,59.5,48.3,52.5,58.5,71.9,65.5,45.1,55.8,55.1,52.1,58.2,58.4,68.7,43.9,57.5,51.3,48.4,45.2,65.7,58.5,44.5,52.7,52.4,46.6,55.9,56,48.8,60.7,44.1,54,63.2,48,51.8,52.9,64.5,49.3,60.3,67.8,50.9,45.8,57.6,47.1,54.3,47.4,44.8
2013,62.6,27.8,60.4,59.6,59.3,45.1,49.8,55.8,71.7,63.4,43.7,51.1,51.2,46.7,53.7,55,66.2,42,54.7,48.8,44.1,39.3,63.1,53.6,42.4,48.5,50.5,44.2,53.2,53.7,45.7,58.6,38.8,50.9,58.8,47.6,49,50.6,62.3,44,57.1,65.1,47.8,43.2,55.1,47.2,51.8,41.8,41.7
2014,62,30.3,62.2,58.7,61.4,46.1,48.7,54.7,70.6,63,45.1,49.5,49.4,45.5,53.7,54.3,65.1,41.2,53.6,47.7,41.9,38.6,62.3,52.9,41.9,48,53,43,51.9,54.8,44.5,58.4,39,49.2,58.9,49.6,47.4,49.7,62.2,43.7,56.6,64.8,50.4,42,54.4,48.4,50.8,40.2,42.1
2015,64.6,30,61.8,61.4,60.8,47.4,49.8,56.4,73.4,65.3,46.4,52.9,52.3,49.3,56.3,56.6,68.1,41.2,55.4,48.5,45.1,43.5,65.3,55.8,44.9,50.8,52.9,43.6,53.9,54.9,45.7,60.5,43.4,51.6,60.8,50.4,49.5,50.4,64.5,47.5,59,65.8,50.7,42.6,56.5,50,53.1,44.8,44.2
2016,65.3,31.9,62.2,62.8,60.1,47.3,51.8,57.4,72.5,65.8,45.1,54.7,54.2,50.7,57.2,57.9,68.7,43.3,56.5,50.3,47.4,44.6,65.9,57.4,44.6,51.6,51.9,45.7,54.9,55.5,47.6,60.8,44.4,53.6,62.3,48.8,50.9,52.2,64.9,48.4,60.3,67.2,50.2,44.6,57.1,48.6,54.1,46.2,43.9
2017,65,29.3,63,62.5,60.3,47.9,50.9,57.6,72.8,65.8,44.3,54.4,54,50,56.5,57.8,68.7,42.4,56.7,49.6,46.3,42.6,65.8,57.1,43.2,50.7,52.2,44.9,54.6,56.4,46.9,61,42,53.2,61.8,48,50.6,51.5,65.1,46.8,60,67.3,50.7,43.8,57.3,46.8,54,44.7,43.2
2018,64.5,30.4,62.3,61.2,60.1,47.2,50.8,57.1,72.3,65.1,44.5,52.5,52.6,47.5,54.6,57,67.8,41.8,55.9,49.5,45.1,40.6,64.8,55.2,41.3,48.3,52,44.4,54.2,55.5,46.2,60.4,39.8,52.2,60.2,48.4,49.8,51.6,64.3,44.1,59.1,66,50.4,43.2,56.6,48,53.3,43.2,42.4
2019,65.4,32.2,60.3,61.2,58.4,45.2,49.8,57.5,73.2,66.2,43,52.1,52.4,46.8,53.8,57.5,67.7,40.7,56.6,48.6,44,39.3,65.2,55,39.9,47.5,49.9,43.3,54.3,54.4,45.3,61.3,38,52.4,59.8,47.2,49.9,50.6,65,42.4,59.8,65.9,47.8,42,57.5,46.5,54.1,42.1,40.3
